NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01184,YOGURT VAN OR LEM FLAV NONFAT MILK SWTND W/LOW-CALORIE SWTNR,87.43,43,3.86,0.18,1,7.5,0,7.5,143,0.12,13,109,177,59,0.67,0.079,,3.1,1.1,0.034,0.162,0.086,0.037,0.43,6,2,0,0,0,0,0.116,0.049,0.005,2
01185,PARMESAN CHS TOPPING FAT FREE,8.6,370,40,5,6.4,40,0,1.5,800,5,40,700,600,1150,3,0.02,,43.3,0,0.05,0.05,0.2,0.1,1.1,151,40,0.04,0,0,0.4,3.11,1.446,0.186,20
01186,CHEESE CREAM FAT FREE,71.87,105,15.69,1,3.77,7.66,0,5.48,351,0.19,22,523,278,702,1.5,0.036,0.017,4.9,0,0.04,0.265,0.23,0.05,0.95,53,11,0.02,0,0,0.2,0.644,0.25,0.057,12
01187,YOGURT CHOC NONFAT MILK,71.57,112,3.53,0,1.37,23.53,1.2,14.97,88,0.42,40,166,339,135,1.13,0.209,,7,0,0.047,0.215,0.223,0.047,0.5,0,0,0,0,0,0,0,0,0,1
01188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,51.5,276,12,21,5.8,9.2,0.3,6.7,359,0.19,,806,240,1638,1.64,,,,0.4,,0.24,,,,649,,,,,,13.1,,,75
01189,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,51.5,215,16.3,9.5,6.4,16.2,0.2,8.2,418,0.16,,943,297,1705,2.36,,,,0.4,,0.33,,,,628,,,,,,6.4,,,35
01190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,58,148,22.7,1,6.1,11.7,0.2,6.7,712,0.05,,923,236,1298,2.5,,,,0.2,,0.28,,,,2166,,,,,,0.7,,,16
01191,KRAFT VELVEETA PAST PROCESS CHS SPRD,45.8,303,16.3,22,6,9.8,0,8.1,466,0.18,,863,335,1499,1.84,,,,0.2,,0.35,,,,1107,,,,,,14.4,,,80
01192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,51.3,222,19.6,10.6,6.6,11.8,0,8.5,574,0.14,,1024,345,1586,2.49,,,,0.1,,0.65,,,,982,,,,,,7.1,,,42
01193,KRAFT BREAKSTONE'S RED FAT SOUR CRM,76.2,152,4.5,12,0.8,6.5,0.1,6.4,161,0.06,,110,210,59,,,,,1.1,,,,,,1053,,,,,,7.6,,,50
